,HML_edgar
2009-07-01,0.04413941825550581
2009-10-01,-0.0025534425255216223
2010-01-01,0.04556316013110884
2010-04-01,0.028019914704604684
2010-07-01,0.011703387500461779
2010-10-01,-0.0029712432426667844
2011-01-01,0.0048092025459012325
2011-04-01,-0.006200410825743276
2011-05-01,-0.038439419653315286
2011-07-01,-0.011348710085284531
2011-08-01,-0.019594345536632987
2011-10-01,0.03163471884203446
2011-11-01,0.04423601942118597
2012-01-01,-0.005065502689583737
2012-04-01,-0.007242005857569343
2012-07-01,-0.04148908042432283
2012-10-01,0.038677027250604776
2013-01-01,-0.005327380817548799
2013-04-01,-0.0032961579799527865
2013-07-01,-0.02174169408122717
2013-10-01,0.025387030558630733
2014-01-01,-0.020718595381511478
2014-04-01,0.00809559688954094
2014-07-01,-0.005509615759540454
2014-10-01,0.006120490101042042
2015-01-01,-0.015215910451004767
2015-04-01,0.03936692069388879
2015-07-01,-0.012426227275142433
2015-10-01,0.006267353835014491
2016-01-01,0.027402956751131136
2016-02-01,0.03826678459220263
2016-04-01,0.016522026096231532
2016-07-01,-0.01939703963886323
2016-08-01,-0.039209705163
2016-10-01,0.06090075525982719
2017-01-01,0.0063612127452228745
2017-04-01,-0.02372523009313887
2017-05-01,0.05048914522136824
2017-07-01,0.018995968703596634
2017-08-01,-0.0025506828623116477
2017-10-01,-0.0028259876315775666
2018-01-01,-0.03484055701366122
2018-04-01,0.016989213630345234
2018-07-01,0.0038847602173063545
2018-10-01,0.018193441293639173
2019-01-01,-0.014262856432305918
2019-04-01,0.03162919867261794
2019-07-01,-0.030213316858278477
2019-10-01,-0.010243746785213934
2020-01-01,-0.06430428190861259
2020-04-01,0.07293941810991447
2020-07-01,-0.028024058407760368
2020-10-01,0.04310736887138015
2021-01-01,0.038316587314665834
2021-02-01,0.1182677502562756
2021-04-01,-0.002423529921448571
2021-07-01,-0.0376739960734739
2021-08-01,-0.019251260085717425
2021-10-01,0.01317951180036861
2021-11-01,0.046187422799478205
2022-01-01,0.08687449476717946
2022-02-01,0.1154332378993836
2022-04-01,-0.010785784002030549
2022-05-01,0.01444332358861095
2022-07-01,-0.007341959190714453
2022-08-01,-0.05161881576284866
2022-10-01,0.05659098649629386
2022-11-01,-0.014904045677417113
2023-01-01,0.03602588844559719
2023-04-01,-0.017137943304113862
2023-05-01,0.08283414299828494
2023-07-01,0.061394401151881814
2023-08-01,0.03102027478899399
2023-10-01,-0.004708757793348478
2024-01-01,-0.026449908481813916
2024-04-01,-0.01889704838625087
2024-07-01,0.0547761233782951
2024-10-01,0.017783823976063234
2025-01-01,-0.006939908806889328
2025-04-01,-0.07072052597029026
2025-07-01,-0.010330437398937858
2025-10-01,-0.012851699099642002
2026-01-01,0.017618309621240703
2026-02-01,0.0070665759614302395
2026-03-01,-0.00027342436677686016
2026-04-01,-0.027326147257352773
2026-05-01,-0.034720169828775245
