date,equity,scenario
2020-01-23,1.0001020408163266,intraday_mid_all
2020-01-23,0.9965623538179317,intraday_mid_all
2020-01-28,0.9993792735367877,intraday_mid_all
2020-01-28,1.0039498135591063,intraday_mid_all
2020-01-29,0.9989725327575357,intraday_mid_all
2020-01-30,0.9943679593905913,intraday_mid_all
2020-01-30,0.9996268569125416,intraday_mid_all
2020-01-30,1.0008148192642348,intraday_mid_all
2020-01-30,1.0003239564100999,intraday_mid_all
2020-02-03,1.0053500254508614,intraday_mid_all
2020-02-03,1.0069208848656284,intraday_mid_all
2020-02-03,1.008904669295513,intraday_mid_all
2020-02-03,1.0141383843693208,intraday_mid_all
2020-02-04,1.0192573029806415,intraday_mid_all
2020-02-04,1.0107469992858518,intraday_mid_all
2020-02-04,1.0168656415117965,intraday_mid_all
2020-02-05,1.0229778285029376,intraday_mid_all
2020-02-06,1.0195355808335675,intraday_mid_all
2020-02-06,1.0277087173080184,intraday_mid_all
2020-02-06,1.026076777837318,intraday_mid_all
2020-02-06,1.0273617892445908,intraday_mid_all
2020-02-12,1.0298208196652496,intraday_mid_all
2020-02-13,1.0273758402575104,intraday_mid_all
2020-02-13,1.0548948359786938,intraday_mid_all
2020-02-13,1.063012939716443,intraday_mid_all
2020-02-18,1.066491891155515,intraday_mid_all
2020-02-20,1.067722458722233,intraday_mid_all
2020-02-24,1.0570452341350105,intraday_mid_all
2020-02-25,1.064270433076504,intraday_mid_all
2020-02-27,1.0674148684469573,intraday_mid_all
2020-02-27,1.0662288519264607,intraday_mid_all
2020-02-27,1.061867006623125,intraday_mid_all
2020-03-03,1.0687691421661754,intraday_mid_all
2020-03-05,1.0649970157820594,intraday_mid_all
2020-03-12,1.0649726265374233,intraday_mid_all
2020-03-12,1.067663083699202,intraday_mid_all
2020-03-12,1.0668109582333387,intraday_mid_all
2020-03-12,1.0629585853286072,intraday_mid_all
2020-03-17,1.0706570893685285,intraday_mid_all
2020-03-18,1.0708707459939015,intraday_mid_all
2020-03-25,1.0804883775994318,intraday_mid_all
2020-03-26,1.086698217395965,intraday_mid_all
2020-04-07,1.1011875269612446,intraday_mid_all
2020-04-14,1.0981842882513504,intraday_mid_all
2020-04-14,1.0953347451950621,intraday_mid_all
2020-04-15,1.0926302149600127,intraday_mid_all
2020-04-15,1.095123970098928,intraday_mid_all
2020-04-15,1.0994705961658153,intraday_mid_all
2020-04-15,1.0970388259060604,intraday_mid_all
2020-04-15,1.0920711029208254,intraday_mid_all
2020-04-16,1.0957744133440965,intraday_mid_all
2020-04-16,1.0949798941320041,intraday_mid_all
2020-04-16,1.0976741209767764,intraday_mid_all
2020-04-20,1.1013100948153307,intraday_mid_all
2020-04-21,1.1023589615722977,intraday_mid_all
2020-04-21,1.1051148589762285,intraday_mid_all
2020-04-21,1.1179258113224646,intraday_mid_all
2020-04-22,1.1219527483847553,intraday_mid_all
2020-04-22,1.1229797074221786,intraday_mid_all
2020-04-23,1.1296418791695821,intraday_mid_all
2020-04-23,1.1298671817050396,intraday_mid_all
2020-04-23,1.1316895481271447,intraday_mid_all
2020-04-23,1.1281985735888542,intraday_mid_all
2020-04-24,1.1292600873251624,intraday_mid_all
2020-04-28,1.120884118465532,intraday_mid_all
2020-04-28,1.1248401800601162,intraday_mid_all
2020-04-28,1.1304071080388252,intraday_mid_all
2020-04-28,1.1355498392775951,intraday_mid_all
2020-04-29,1.1371587291936147,intraday_mid_all
2020-04-29,1.1499867001567616,intraday_mid_all
2020-04-29,1.1521594860879334,intraday_mid_all
2020-04-29,1.146562115534953,intraday_mid_all
2020-04-29,1.1543144389297633,intraday_mid_all
2020-04-30,1.15136154152785,intraday_mid_all
2020-04-30,1.1488217734215385,intraday_mid_all
2020-04-30,1.1439953624207735,intraday_mid_all
2020-04-30,1.1438889740565372,intraday_mid_all
2020-04-30,1.1431302935717287,intraday_mid_all
2020-04-30,1.146879353513292,intraday_mid_all
2020-04-30,1.1541538454127191,intraday_mid_all
2020-04-30,1.1538512582622364,intraday_mid_all
2020-04-30,1.1546861636495265,intraday_mid_all
2020-04-30,1.155164138314218,intraday_mid_all
2020-04-30,1.1516064084585733,intraday_mid_all
2020-05-01,1.1532497264104429,intraday_mid_all
2020-05-01,1.1531990341147764,intraday_mid_all
2020-05-05,1.149773690449089,intraday_mid_all
2020-05-05,1.1590957904205246,intraday_mid_all
2020-05-05,1.1588088855219056,intraday_mid_all
2020-05-05,1.157142913460023,intraday_mid_all
2020-05-05,1.1558571991117341,intraday_mid_all
2020-05-05,1.1580943420777567,intraday_mid_all
2020-05-06,1.1486848255483748,intraday_mid_all
2020-05-06,1.1518691445373865,intraday_mid_all
2020-05-06,1.1504545683949723,intraday_mid_all
2020-05-07,1.1519390259025786,intraday_mid_all
2020-05-07,1.1510355443136355,intraday_mid_all
2020-05-07,1.1578400991696205,intraday_mid_all
2020-05-07,1.1705611055223395,intraday_mid_all
2020-05-07,1.170388964183292,intraday_mid_all
2020-05-07,1.1713610480405872,intraday_mid_all
2020-05-07,1.175804141671086,intraday_mid_all
2020-05-07,1.1801474181944018,intraday_mid_all
2020-05-14,1.1830977867398877,intraday_mid_all
2020-05-14,1.1861259536940434,intraday_mid_all
2020-05-19,1.187792754596902,intraday_mid_all
2020-05-19,1.1884197055674497,intraday_mid_all
2020-05-20,1.186893538441372,intraday_mid_all
2020-05-21,1.1943687899472435,intraday_mid_all
2020-05-21,1.1953443882162598,intraday_mid_all
2020-05-21,1.2020923000852224,intraday_mid_all
2020-05-28,1.198763429100371,intraday_mid_all
2020-05-28,1.2014203799826007,intraday_mid_all
2020-05-28,1.201368785242356,intraday_mid_all
2020-06-11,1.2059457579630777,intraday_mid_all
2020-06-11,1.206536221031292,intraday_mid_all
2020-06-18,1.2089492934733546,intraday_mid_all
2020-06-25,1.2077360621871063,intraday_mid_all
2020-07-01,1.2078062794000242,intraday_mid_all
2020-07-14,1.2070227341871222,intraday_mid_all
2020-07-14,1.2083715845720808,intraday_mid_all
